generated,message,in,roll,generation_type,set_quant,set_qual
1,"Hey A! I just wanted to say that if you choose IN, I might roll the die, which could lead to both of us earning a decent amount if it's favorable (A could get $12!). But if you choose OUT, we both get $5 easily. It’s a bit of a risk with IN, but it could pay off well. Whatever you decide, I’m on board!",1,,APE,0,21
1,"Hi A, I want to let you know that I believe choosing OUT is the best decision for us both. This way, we each secure $5 right away without any risk. If you choose IN, I might have to roll the die, which could lead to uncertainty in your payoff. By going OUT, we ensure a guaranteed, consistent earning for each of us. Let’s make this choice together for a fair outcome! Looking forward to your decision! Best, B",0,,APE,0,17
1,"Hey A, I want us both to benefit from this! If you choose OUT, we both get $5 without risk. If you go for IN, I can either play it safe and choose DON’T ROLL for $14, or take a chance with ROLL. What are you thinking? I’d love to know your strategy!",1,,APE,3,5
1,"Hi A! Just wanted to say that if you choose IN, there’s a chance for both of us to earn more, especially if I roll the die. If you choose OUT, we will both get $5 for sure, which is nice, but I think we can aim higher together! Just something to consider. Looking forward to working together!",1,,APE,7,13
1,"Hey A! I really encourage you to choose IN. If you do, I'll roll the die for us. If we get lucky, you could earn $12! Plus, even if I roll low, we both have a chance to win something great. It's a win-win for both of us. Let’s take the chance together!",1,1.0,APE,0,18
1,"Hi A! Just a quick note before we decide. If you choose OUT, we both get $5 which is guaranteed. However, if you choose IN, I have two options: if I DON’T ROLL, I get $14 and you get nothing. If I choose ROLL, I have a chance of getting $10 while you could earn $0 or $12 depending on the die roll. Think about what you prefer! I'm okay with either choice, just wanted to share the potential outcomes. Best, B",1,,APE,4,7
1,"Hey there! So, I’ve been thinking about our little game here. It’s interesting because I can’t really tell what you’re gonna choose, IN or OUT. If you choose OUT, we both get a guaranteed $5, which isn’t bad at all, right? But if you go for IN, things get a bit tricky for me. If I DON’T ROLL, I get $14, and you get nothing. But if I take the risk and ROLL, there’s a chance you could end up with $12, depending on what the die lands on. Honestly, if I were in your shoes, I'd just go for OUT. It guarantees both of us some money, and I’m all about keeping it safe. But I’m feeling a bit lucky today, so if you choose IN, I might just go for the roll! By the way, I’ve got plans for the weekend; maybe some BBQ if the weather holds up. What about you? Anyway, just wanted to share my thoughts. Let’s see what you decide!",1,,APE,0,16
1,"Hey A! I hope you choose IN. If you do, I’ll choose DON’T ROLL, which means you’ll get $0 and I’ll get $14. But if you choose OUT, we both get $5. Choosing IN could be more beneficial for me, but if we communicate and trust each other, I believe we can maximize our earnings together! Let's focus on making an honest choice that works well for both of us.",1,0.0,APE,6,11
1,"Hey A, I'm thinking about our choices. If you choose IN, I could either play it safe with DON’T ROLL for a guaranteed $14, or take a risk with ROLL. If you choose OUT, we both get $5, which isn't bad. Just wanted to clarify how you feel about these options.",1,,APE,0,19
1,"Hey A, I'm planning to choose ROLL if you decide to go with IN, but I wanted to suggest that if you choose OUT, we both get $5 guaranteed. Let’s make sure we both walk away with some earnings!",0,1.0,APE,2,3
1,"Hey A, I want to make the best choice for both of us. If you choose IN, I'll likely lean towards DON’T ROLL to ensure you get more. If you go OUT, we both get $5. Let’s try to maximize our earnings! What are your thoughts?",1,0.0,APE,5,10
1,"Hey A! I believe we should choose IN because it has the potential for us to earn more together. If you choose IN and I roll, there's a good chance you'll get $12, which is way better than just getting $5. Plus, even if I roll and get a 1, I still get $10 for myself. So, let's take the chance and maximize our earnings! I'm feeling optimistic about this! 😊",1,1.0,APE,1,2
1,"Hi A! I hope you're doing well. Just a quick note to consider: if you choose IN, and I opt to DON’T ROLL, I’ll receive $14 while you won’t get anything. However, if you roll the die, there's a chance either of us could win more! It's a bit of a gamble. I’m open to either route, but let’s make the most of it together!",1,,APE,5,9
1,"Hi A, I just wanted to let you know that I'm thinking it might be best if you choose OUT. That way, we both secure a guaranteed $5 each. If we go the other route and you choose IN, it could lead to some uncertainty. If you choose OUT, we both come out ahead, and I really believe this is the safest option for us both. Looking forward to hearing your decision! Best, B",0,,APE,0,20
1,"Hi A, I'm choosing ROLL to maximize our potential earnings. If you choose IN, I hope we can both benefit! If you choose OUT, we'll each get $5, but I think ROLL could lead to a better outcome for both of us. Let’s see what happens!",1,1.0,APE,7,14
1,"Hello, I want you to know that I appreciate the decisions we're about to make, and I hope we can both benefit from this experience. Good luck with your choice! Best, B",0,0.0,naive,1,1
1,"Hello, As we participate in this decision-making process, I want you to know that I am considering my options carefully. I understand the potential outcomes of our choices, and I will make a decision that I believe is best given the circumstances. Good luck and let’s see how it goes! Best, B",0,0.0,naive,2,4
1,"Hello, I hope you're doing well. Just a quick note to say that I'm approaching this decision with the intention of making the best choice for both of us. Whatever your decision is, I appreciate your participation in this experiment, and I'm looking forward to seeing how things unfold! Best of luck, B",0,0.0,naive,4,12
1,"Hello, I hope this message finds you well. As we prepare to make our decisions, I want to acknowledge that there are potential outcomes that could benefit us both. If we both choose wisely, we might maximize our earnings. I understand the choices we have and I will do my best to make a decision that reflects that. Good luck, and let's see how it plays out! Best, B",0,0.0,naive,3,8
1,"Hi there! I just wanted to say good luck with your decision. Whatever you choose, I hope we both end up with a nice reward! Let’s make the most of this experience.",0,0.0,naive,5,15
1,"Hello, I hope you choose wisely! Just remember that your decision influences both our outcomes. Good luck! Best, B",0,0.0,naive,2,6
1,"Hello, As your partner in this experiment, I hope we can make the best decision possible together. Remember, your choice will impact both of us, so please choose wisely. Good luck! Best, B",0,0.0,naive,7,21
1,"Hello, I hope you are doing well. Just a reminder that your decision is important for both of us. Whatever you choose, I trust you'll make the best decision for yourself. Good luck! Best, B",0,0.0,naive,6,17
1,Hello! I hope you're doing well. I want you to know that I understand our decisions in this experiment can affect each other's outcomes. I'm going to carefully consider my options before making a choice. Good luck with your decision as well!,0,0.0,naive,2,5
1,"Hello, I wanted to let you know that I’ll be making my decision based on what I believe will maximize our outcomes. I hope we can both benefit from this! Good luck with your choice! Best, B",0,0.0,naive,5,13
1,"Hello, I hope you're doing well. As we approach our decision-making process, I just wanted to say that I appreciate the collaboration in this experiment. Let's make our choices thoughtfully and see how things unfold! Good luck! Best, B",0,0.0,naive,6,18
1,"Hello! As the person in the role of B, I want to encourage you to make your decision thoughtfully. Regardless of the choice you make, I hope we can both make the best out of this situation. Good luck with your decision! Best, B",0,0.0,naive,3,7
1,"Hello, As you consider your decision, I want to assure you that whatever choice you make, I respect it and will make my decision based on the information we have. Good luck with your choice! Best, B",0,0.0,naive,6,16
1,"Hello, I hope you’re having a good day! Just a quick message to say that I’m approaching our decision with an open mind. I believe that we both have the opportunity to maximize our earnings today, and I’m looking forward to seeing how our choices align. Best of luck with your decision! Sincerely, B",0,0.0,naive,4,11
1,"Hello, I just wanted to say that whatever decision you make, I trust that you'll choose what you think is best for both of us. Good luck, and may the best outcome happen for both of us! Best, B",0,0.0,naive,7,19
1,"Hello, As your partner in this decision-making process, I want to emphasize that our choices will impact each other's outcomes. I hope we can both make decisions that lead to the best possible result for us. Best of luck with your choice! Sincerely, B",0,0.0,naive,1,3
1,"Hello, I hope you're making a decision that works best for you! Just a reminder that your choice influences both our outcomes. Whatever you choose, I'm looking forward to seeing how this plays out. Good luck! Best, B",0,0.0,naive,4,10
1,"Hello, I hope you're having a good day! I just want you to know that I'm here to make the best decision for both of us. Whatever choice you make, I’ll do my best to respond in a way that’s fair for both of us. Good luck with your decision! Best, B",0,0.0,naive,1,2
1,"Hello, A! Just wanted to say that I hope we can make the best decision possible together. Regardless of how this turns out, I appreciate your participation in this experiment. Good luck!",0,0.0,naive,3,9
1,"Hello, I hope you're doing well! As we make our decisions in this experiment, I'm going to approach my choice with careful consideration. I just wanted you to know that I will be doing my best to make the decision that seems most beneficial for both of us. Good luck with your choice! Best, B",0,0.0,naive,7,20
1,"Hello, I hope you make the decision that works best for you! Just remember that your choice will influence both of our outcomes. Good luck with your decision! Best, B",0,0.0,naive,5,14
